Disorder_ID,Disorder_Name,Category,Common_Symptoms,Age_Group_Prevalence,Gender_Predisposition,Ethnic_Risk_Factors,Lifestyle_Risk_Factors,Recommended_Specialist,Emergency_Flag,Suggested_Followup_Questions
I10,Hypertension,Physical,"Headache, dizziness, chest pain, nosebleeds",Adolescents,Female > Male,Higher in African-American population,Stress,Oncologist,Yes,When did symptoms start? How severe are they? Any family history of Hypertension?
I25,Coronary Artery Disease,Physical,"Chest pain, shortness of breath, fatigue",Adults 20–40,Equal,Higher in Asian populations,Trauma history,Neurologist,No,When did symptoms start? How severe are they? Any family history of Coronary Artery Disease?
I48,Atrial Fibrillation,Physical,"Palpitations, irregular heartbeat, weakness",Adolescents,Male > Female,Higher in African-American population,Sedentary lifestyle,Oncologist,Yes,When did symptoms start? How severe are they? Any family history of Atrial Fibrillation?
I50,Heart Failure,Physical,"Fatigue, edema, shortness of breath",Children,Equal,Higher in African-American population,Trauma history,Gynecologist,Yes,When did symptoms start? How severe are they? Any family history of Heart Failure?
J45,Asthma,Physical,"Wheezing, coughing, chest tightness",Elderly,Male > Female,No significant difference,Sedentary lifestyle,Cardiologist,Yes,When did symptoms start? How severe are they? Any family history of Asthma?
J44,COPD,Physical,"Chronic cough, sputum, breathlessness",Children,Equal,Higher in African-American population,Trauma history,Endocrinologist,No,When did symptoms start? How severe are they? Any family history of COPD?
J18,Pneumonia,Physical,"Fever, chills, cough, chest pain",Adults 20–40,Male > Female,Higher in Asian populations,Sedentary lifestyle,Nephrologist,No,When did symptoms start? How severe are they? Any family history of Pneumonia?
U07.1,COVID-19,Physical,"Fever, cough, anosmia, fatigue",Adults 40+,Equal,Higher in African-American population,Alcohol,Gynecologist,Yes,When did symptoms start? How severe are they? Any family history of COVID-19?
E11,Type 2 Diabetes Mellitus,Physical,"Thirst, frequent urination, blurred vision",Adults 20–40,Female > Male,Higher in Asian populations,Trauma history,Dermatologist,Yes,When did symptoms start? How severe are they? Any family history of Type 2 Diabetes Mellitus?
E03,Hypothyroidism,Physical,"Fatigue, weight gain, cold intolerance",Adolescents,Female > Male,Higher in Hispanic populations,Obesity,Nephrologist,No,When did symptoms start? How severe are they? Any family history of Hypothyroidism?
E05,Hyperthyroidism,Physical,"Weight loss, tremors, palpitations",Adults 40+,Equal,Higher in African-American population,Obesity,Endocrinologist,Yes,When did symptoms start? How severe are they? Any family history of Hyperthyroidism?
E28,Polycystic Ovary Syndrome,Physical,"Irregular menses, acne, hirsutism",Adults 40+,Female > Male,Higher in African-American population,Stress,Gastroenterologist,No,When did symptoms start? How severe are they? Any family history of Polycystic Ovary Syndrome?
